method;problem;problem_size;goal;time;iterations
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.016512000001966953;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.01767540001310408;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.016957900021225214;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.016968099866062403;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.021317800041288137;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.018104700138792396;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.016175400000065565;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.019483199808746576;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.01945459982380271;9427
BRUTE FORCE;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.016840799944475293;9427
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;16.52061599981971;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;17.28892150009051;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;17.38828710000962;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;17.542974600102752;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;17.092658900190145;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;18.378508700057864;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;18.40830949996598;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;37.19144629989751;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;23.554577599978074;8349211
BRUTE FORCE;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;18.4970186999999;8349211
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.6227992998901755;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.568027200177312;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.5547189000062644;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.5880680000409484;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.6500864999834448;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.6096665998920798;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.5482804998755455;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.6344860999379307;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.55410740012303;729379
BRUTE FORCE;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;1.5572136999107897;729379
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;6.866425399901345;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;7.07481319992803;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;6.9734355001710355;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;6.998686400009319;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;7.120694200042635;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;6.965944199822843;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;7.371189900208265;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;7.412992799887434;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;7.434133099857718;2905927
BRUTE FORCE;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;7.110481300158426;2905927
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.0007680000271648169;249
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.00046220002695918083;141
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.00038160011172294617;113
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.0006158000323921442;185
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.0002770000137388706;74
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.0002625999040901661;55
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.000260600121691823;49
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.00030649988912045956;76
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.002021700143814087;584
RANDOM HILL CLIMB;1, 2, 3, 3, 8, 7, 9, 11, 16;3;1.0;0.00046719983220100403;123
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;0.75;0.037503300001844764;10000
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.004396500065922737;1260
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.0002671000547707081;60
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.011768599972128868;3502
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.014652300160378218;4246
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.023561200127005577;7406
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.0065571998711675406;2262
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.02690419997088611;8443
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.01473739999346435;4751
RANDOM HILL CLIMB;4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3, 4;4;1.0;0.009265100117772818;3267
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.02086499985307455;7372
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;0.75;0.028524399967864156;10000
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.006129399873316288;2060
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;0.75;0.029754099901765585;10000
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.0015068999491631985;501
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.000677300151437521;213
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.009114200016483665;2692
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.0029527998995035887;844
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;1.0;0.00558270001783967;1318
RANDOM HILL CLIMB;4, 4, 7, 6, 12, 13, 4, 8, 2, 10, 7, 3;4;0.75;0.03960500005632639;10000
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;0.8;0.037151800002902746;10000
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;0.029142800020053983;8407
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;0.022189100040122867;6367
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;0.8;0.03508930001407862;10000
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;0.006794100161641836;2158
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;0.8;0.038685600040480494;10000
RANDOM HILL CLIMB;1, 6, 8, 7, 2, 9, 4, 3, 5, 3, 7, 2, 7, 6, 5;5;1.0;0.016623799921944737;4902
